occurrence_no,collection_no,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,time_bins
747527,79786,Crassostrea virginica,Early Pleistocene,,2.58,0.774,277.95472,26.929722,Calabrian
747601,80037,Plicatula gibbosa,Late Pliocene,,3.6,2.58,275.358055,30.389168,Pliocene
747620,80037,Glycymeris americana,Late Pliocene,,3.6,2.58,275.358055,30.389168,Pliocene
747635,80037,Ensis directus,Late Pliocene,,3.6,2.58,275.358055,30.389168,Pliocene
747648,80039,Glycymeris americana,Late Pliocene,,3.6,2.58,275.358055,30.389168,Pliocene
747665,80039,Plicatula gibbosa,Late Pliocene,,3.6,2.58,275.358055,30.389168,Pliocene
747675,80043,Hiatella arctica,Late Pleistocene,,0.129,0.0117,292.074165,44.607224,Late Pleistocene
747676,80043,Macoma (Macoma) calcarea,Late Pleistocene,,0.129,0.0117,292.074165,44.607224,Late Pleistocene
747678,80043,Mytilus edulis,Late Pleistocene,,0.129,0.0117,292.074165,44.607224,Late Pleistocene
747682,80043,Astarte montagui,Late Pleistocene,,0.129,0.0117,292.074165,44.607224,Late Pleistocene
747684,80042,Mya (Arenomya) arenaria,Late Pleistocene,,0.129,0.0117,286.699997,45.183334,Late Pleistocene
747685,80042,Hiatella arctica,Late Pleistocene,,0.129,0.0117,286.699997,45.183334,Late Pleistocene
747687,80041,Mya (Arenomya) arenaria,Late Pleistocene,,0.129,0.0117,286.68,45.189999,Late Pleistocene
747688,80041,Hiatella arctica,Late Pleistocene,,0.129,0.0117,286.68,45.189999,Late Pleistocene
747701,80044,Plicatula gibbosa,Late Pliocene,,3.6,2.58,275.358055,30.389168,Pliocene
747709,80044,Glycymeris americana,Late Pliocene,,3.6,2.58,275.358055,30.389168,Pliocene
747718,80045,Hiatella arctica,Late Pleistocene,,0.129,0.0117,286.658607,44.54361,Late Pleistocene
747719,80045,Mya (Arenomya) arenaria,Late Pleistocene,,0.129,0.0117,286.658607,44.54361,Late Pleistocene
