Species,long,lat,Time
Abra_aequalis,278.55139,30.85083,Modern
Abra_aequalis,277.3607,27.38769,Modern
Abra_aequalis,277.39582,27.38988,Modern
Abra_aequalis,262.79167,26.07306,Modern
Abra_aequalis,262.79167,26.07306,Modern
Abra_aequalis,279.2144,32.1427,Modern
Abra_aequalis,278.6277,30.5013,Modern
Abra_aequalis,276.9657,29.1201,Modern
Abra_aequalis,278.6036,30.3465,Modern
Abra_aequalis,280.0101,26.6306,Modern
Abra_aequalis,278.73521,29.84261,Modern
Abra_aequalis,277.8974,26.4266,Modern
Abra_aequalis,277.1763,28.9565,Modern
Abra_aequalis,277.2507,28.9211,Modern
Abra_aequalis,279.55053,27.85925,Modern
Abra_aequalis,281.11306,33.68889,Modern
Abra_aequalis,277.8079,26.5147,Modern
Abra_aequalis,278.2901,25.894,Modern
Abra_aequalis,277.8079,26.5147,Modern
Abra_aequalis,277.9348,26.4243,Modern
Abra_aequalis,277.20394,27.79585,Modern
Abra_aequalis,279.6019,25.1115,Modern
Abra_aequalis,283.391217,34.641417,Modern
Abra_aequalis,279.6019,25.1115,Modern
Abra_aequalis,279.26167,32.19361,Modern
Abra_aequalis,276.962167,29.121313,Modern
Abra_aequalis,274.952339,29.58541,Modern
Abra_aequalis,279.9306,26.5708,Modern
Abra_aequalis,279.3,32.2,Modern
Abra_aequalis,277.1672,28.9366,Modern
Abra_aequalis,277.98704,26.48808,Modern
Abra_aequalis,279.8028,25.4517,Modern
Abra_aequalis,277.8079,26.5147,Modern
Abra_aequalis,277.2521,28.9413,Modern
Abra_aequalis,282.3346,34.3403,Modern
Abra_aequalis,279.973988,26.77152,Modern
Abra_aequalis,281.91583,36.43861,Modern
Abra_aequalis,279.976595,26.57948,Modern
Abra_aequalis,279.80511,27.15181,Modern
Abra_aequalis,284.00844,37.16532,Modern
Abra_aequalis,279.69197,27.47502,Modern
Abra_aequalis,277.2521,28.9413,Modern
Abra_aequalis,278.783989,29.670205,Modern
Abra_aequalis,278.599993,30.43904,Modern
Abra_aequalis,275.33556,29.85306,Modern
Abra_aequalis,277.3597,27.3856,Modern
Abra_aequalis,278.7784,29.6941,Modern
Abra_aequalis,262.79167,26.07306,Modern
Abra_aequalis,280.0095,26.6754,Modern
Abra_aequalis,279.9524,26.294,Modern
Abra_aequalis,279.965677,26.54347,Modern
Abra_aequalis,276.9543,29.1404,Modern
Abra_aequalis,271.7181,16.8792,Modern
Abra_aequalis,271.8708,17.2306,Modern
Abra_aequalis,271.8431,16.5236,Modern
Abra_aequalis,274.66,29.8,Modern
Abra_aequalis,289.3,18.75,Modern
Abra_aequalis,277.2,27.97,Modern
Abra_aequalis,278.27,25.97,Modern
Abra_aequalis,279.96,26.71,Modern
Abra_aequalis,279.94,26.62,Modern
Abra_aequalis,277.89,26.44,Modern
Abra_aequalis,271.8319,16.7236,Modern
Abra_aequalis,262.73,27.88,Modern
Abra_aequalis,278.2,26.14,Modern
Abra_aequalis,277.14,24.66,Modern
Abra_aequalis,275.04,29.67,Modern
Abra_aequalis,271.8444,16.8028,Modern
Abra_aequalis,271.7792,16.6167,Modern
Abra_aequalis,277.43,27.69,Modern
Abra_aequalis,280.06,32.66,Modern
Abra_aequalis,277.98,26.45,Modern
Abra_aequalis,271.9125,17.1014,Modern
Abra_aequalis,271.31,30.24,Modern
Abra_aequalis,274.48,29.98,Modern
Abra_aequalis,271.9014,17.425,Modern
Abra_aequalis,277.89,26.44,Modern
